task,marcelbinz-Llama-3.1-Centaur-8B-adapter_loss,marcelbinz-Llama-3.1-Centaur-8B-adapter_ppl
badham2017deficits,0.5549885630607605,1.7419210624147994
bahrami2020four,0.7696035504341125,2.1589101850964263
enkavi2019adaptivenback,0.4769439697265625,1.6111431687328979
enkavi2019digitspan,0.6099858283996582,1.8404053171082073
enkavi2019gonogo,1.068506117007928e-05,1.0000106851182555
enkavi2019recentprobes,0.30839625000953674,1.3612402735557045
feng2021dynamics,0.39099445939064026,1.4784503218747629
flesch2018comparing,0.6450862288475037,1.9061513874229188
frey2017cct,0.24097779393196106,1.2724927779332817
frey2017risk,0.080525703728199,1.0838567054423751
gershman2018deconstructing,0.3616570830345154,1.4357065294104767
gershman2020reward,0.7676687240600586,2.154737107123594
hebart2023things,0.8507671356201172,2.3414423669783204
hilbig2014generalized,0.13837100565433502,1.1484015347107999
kool2016when,0.5567291975021362,1.7449557505853603
kool2017cost,0.6103204488754272,1.8410212574584053
lefebvre2017behavioural,0.5806523561477661,1.7872039440240608
levering2020revisiting,0.5311174988746643,1.700831924773333
ludwig2023human,0.6212906241416931,1.8613287681392319
peterson2021using,0.49787887930870056,1.6452278402023066
plonsky2018when,0.4657911956310272,1.5932742819822239
ruggeri2022globalizability,0.4920748472213745,1.6357065427133592
sadeghiyeh2020temporal,0.685907781124115,1.9855734837914272
schulz2020finding,0.9428943991661072,2.5674017599466743
somerville2017charting,0.4312289357185364,1.5391478755501926
speekenbrink2008learning,0.6916032433509827,1.9969145080978705
steingroever2015data,0.9781437516212463,2.659514936913625
tomov2020discovery,1.444117546081543,4.238110554907751
tomov2021multitask,1.0172860622406006,2.765678689672395
waltz2020differential,0.21980346739292145,1.2458318599422198
wilson2014humans,0.5795341730117798,1.7852066395974564
wu2023chunking,0.20751908421516418,1.230621202055799
wulff2018description,0.6388577222824097,1.8943158082463138
wulff2018sampling,0.5369569659233093,1.7107929319345476
xiong2023neural,0.48628345131874084,1.6262608966826138
zorowitz2023data,0.5691182017326355,1.766708483883617
