,task,trial,horizon,uncertainty,slot1_value,slot2_value,choice,RT,reward,forced,participant,tier
0,0,0,5,3,20,40,1,2020.81,41,1,0,0.0
1,0,1,5,3,20,40,1,1840.523,38,1,0,0.0
2,0,2,5,3,20,40,1,1468.408,42,1,0,0.0
3,0,3,5,3,20,40,0,1687.647,12,1,0,0.0
4,0,4,5,3,20,40,1,4849.866999999999,33,0,0,0.0
5,1,0,5,2,70,40,1,1031.596,29,1,0,0.0
6,1,1,5,2,70,40,0,966.918,79,1,0,0.0
7,1,2,5,2,70,40,0,837.7520000000001,65,1,0,0.0
8,1,3,5,2,70,40,1,922.245,57,1,0,0.0
9,1,4,5,2,70,40,0,1507.644,68,0,0,0.0
10,2,0,10,1,64,60,0,884.7159999999999,68,1,0,0.0
11,2,1,10,1,64,60,0,327.899,53,1,0,0.0
12,2,2,10,1,64,60,0,407.411,62,1,0,0.0
13,2,3,10,1,64,60,1,709.96,54,1,0,0.0
14,2,4,10,1,64,60,1,1726.438,46,0,0,0.0
15,2,5,10,1,64,60,1,1653.9740000000002,75,0,0,0.0
16,2,6,10,1,64,60,1,1657.0990000000002,55,0,0,0.0
17,2,7,10,1,64,60,0,2735.532,60,0,0,0.0
18,2,8,10,1,64,60,0,3323.917,67,0,0,0.0
19,2,9,10,1,64,60,0,499.524,69,0,0,0.0
20,3,0,10,1,60,90,0,1238.483,56,1,0,0.0
21,3,1,10,1,60,90,0,825.074,59,1,0,0.0
22,3,2,10,1,60,90,0,942.262,72,1,0,0.0
23,3,3,10,1,60,90,1,830.0600000000001,89,1,0,0.0
24,3,4,10,1,60,90,1,1435.23,93,0,0,0.0
25,3,5,10,1,60,90,1,767.026,83,0,0,0.0
26,3,6,10,1,60,90,1,662.34,88,0,0,0.0
27,3,7,10,1,60,90,1,856.463,93,0,0,0.0
28,3,8,10,1,60,90,1,323.721,75,0,0,0.0
29,3,9,10,1,60,90,1,874.378,98,0,0,0.0
30,4,0,10,1,60,30,1,1054.099,28,1,0,0.0
31,4,1,10,1,60,30,0,544.7220000000001,57,1,0,0.0
32,4,2,10,1,60,30,0,1497.185,63,1,0,0.0
33,4,3,10,1,60,30,0,811.0540000000001,52,1,0,0.0
34,4,4,10,1,60,30,1,1001.054,28,0,0,0.0
35,4,5,10,1,60,30,0,653.913,68,0,0,0.0
36,4,6,10,1,60,30,0,377.461,66,0,0,0.0
37,4,7,10,1,60,30,1,679.4630000000001,29,0,0,0.0
38,4,8,10,1,60,30,0,400.991,63,0,0,0.0
