task,marcelbinz-Llama-3.1-Centaur-8B-adapter
badham2017deficits,0.5672826766967773
bahrami2020four,0.7696035504341125
enkavi2019adaptivenback,0.4579748511314392
enkavi2019digitspan,0.6611999273300171
enkavi2019gonogo,7.840689249860588e-06
enkavi2019recentprobes,0.3122138977050781
feng2021dynamics,0.26228585839271545
flesch2018comparing,0.48543089628219604
frey2017cct,0.22456732392311096
frey2017risk,0.07799030095338821
gershman2018deconstructing,0.35628774762153625
gershman2020reward,0.5789854526519775
hebart2023things,0.8514384031295776
hilbig2014generalized,0.09514990448951721
kool2016when,0.5305773019790649
kool2017cost,0.5734357833862305
lefebvre2017behavioural,0.5532074570655823
levering2020revisiting,0.5395026206970215
ludwig2023human,0.558728039264679
peterson2021using,0.4681227207183838
plonsky2018when,0.3854459226131439
ruggeri2022globalizability,0.4920748472213745
sadeghiyeh2020temporal,0.6515800952911377
schulz2020finding,0.7149773240089417
somerville2017charting,0.373028963804245
speekenbrink2008learning,0.6325283050537109
steingroever2015data,0.9644014239311218
tomov2020discovery,1.248775839805603
tomov2021multitask,0.6485294103622437
waltz2020differential,0.16239199042320251
wilson2014humans,0.5022943019866943
wu2023chunking,0.17650413513183594
wulff2018description,0.6422522068023682
wulff2018sampling,0.5249927639961243
xiong2023neural,0.3275889456272125
zorowitz2023data,0.54400634765625
