task,num_examples,minitaur_psych101_qlora_hf_custom_rep
collsiöö2023MCPL,28,1.7379196882247925
cox2017information,38,1.2329703569412231
garcia2023experiential,45,0.4817989766597748
jansen2021dunningkruger,323,1.3265324831008911
krueger2022identifying,203,0.5758148431777954
kumar2023disentangling,92,0.004284585360437632
popov2023intent,13,0.6697484254837036
wise2019acomputational,6,5.530874252319336
wu2018generalisation,3,1.8977043628692627
zhu2020bayesian,15,2.579623222351074
