task,num_examples,meta_llama_3_1_8b_base_custom_rep
collsiöö2023MCPL,28,2.1763360500335693
cox2017information,38,1.8437548875808716
garcia2023experiential,45,0.6409688591957092
jansen2021dunningkruger,323,2.2953851222991943
krueger2022identifying,203,1.0671894550323486
kumar2023disentangling,92,3.3198752403259277
popov2023intent,13,1.4059253931045532
wise2019acomputational,6,6.18316125869751
wu2018generalisation,3,2.7056570053100586
zhu2020bayesian,15,3.0657942295074463
