,task,unsloth/Meta-Llama-3.1-70B-bnb-4bit,custom_metric,unseen
0,badham2017deficits,0.5756252408027649,False,participants
1,bahrami2020four,0.8842191696166992,False,participants
2,enkavi2019adaptivenback,0.5209990739822388,False,participants
3,enkavi2019digitspan,0.6735493540763855,False,participants
4,enkavi2019gonogo,0.0062497593462467,False,participants
5,enkavi2019recentprobes,0.3447880446910858,False,participants
6,feng2021dynamics,0.4228215217590332,False,participants
7,flesch2018comparing,0.5040009617805481,False,participants
8,frey2017cct,0.245394617319107,False,participants
9,frey2017risk,0.082625962793827,False,participants
10,gershman2018deconstructing,0.3829404413700104,False,participants
11,gershman2020reward,0.6122576594352722,False,participants
12,hebart2023things,1.1657265424728394,False,participants
13,hilbig2014generalized,0.1502313464879989,False,participants
14,kool2016when,0.6108246445655823,False,participants
15,kool2017cost,0.6262339949607849,False,participants
16,lefebvre2017behavioural,0.5381851196289062,False,participants
17,levering2020revisiting,0.577235221862793,False,participants
18,ludwig2023human,0.6026115417480469,False,participants
19,peterson2021using,0.5493103265762329,False,participants
20,plonsky2018when,0.4118474423885345,False,participants
21,ruggeri2022globalizability,0.7385996580123901,False,participants
22,sadeghiyeh2020temporal,0.6495926380157471,False,participants
23,schulz2020finding,0.8113840818405151,False,participants
24,somerville2017charting,0.4990077614784241,False,participants
25,speekenbrink2008learning,0.5749474167823792,False,participants
26,steingroever2015data,1.0007374286651611,False,participants
27,tomov2020discovery,1.5540080070495603,False,participants
28,tomov2021multitask,0.6604222059249878,False,participants
29,waltz2020differential,0.2541461586952209,False,participants
30,wilson2014humans,0.5513817667961121,False,participants
31,wu2023chunking,0.1900072395801544,False,participants
32,wulff2018description,0.9133273959159852,False,participants
33,wulff2018sampling,0.6497461795806885,False,participants
34,xiong2023neural,0.3824156820774078,False,participants
35,zorowitz2023data,0.5773095488548279,False,participants
0,collsiöö2023MCPL,1.2815344333648682,True,participants
1,cox2017information,1.3753968477249146,True,participants
2,garcia2023experiential,0.6979977488517761,True,participants
3,jansen2021dunningkruger,1.9944969415664675,True,participants
4,krueger2022identifying,0.6472116708755493,True,participants
5,kumar2023disentangling,2.737404584884644,True,participants
6,popov2023intent,1.133495211601257,True,participants
7,wise2019acomputational,5.105749607086182,True,participants
8,wu2018generalisation,2.4474689960479736,True,participants
9,zhu2020bayesian,2.6405038833618164,True,participants
0,feher2020humans,0.6253128051757812,False,experiments
1,dubois2022value,0.6224088072776794,False,experiments
0,jansen2021logic,1.92205548286438,True,experiments
